x0,feature1,feature2,feature3,label
1,3,74,62,2262500
1,3,72,62,2070000
1,4,138,22,3069999
1,2,59,7,2450000
1,3,70,52,2100000
1,3,61,6,2850000
1,3,87,6,2600000
1,4,122,8,2970000
1,2,75,72,1980000
1,4,95,6,3150000
1,2,52,72,1446432
1,2,52,72,1446420
1,3,73,82,1800000
1,4,91,62,2500000
1,4,96,6,3420000
1,2,38,17,2200000
1,2,64,62,2350000
1,4,109,52,2850000
1,3,70,72,1740000
1,3,76,6,2900000
1,3,72,5,2950000
1,3,86,52,2600000
1,3,66,62,2500000
1,3,72,62,2260000
1,4,104,7,3900000
1,5,96,52,2136752
1,2.5,62,7,2400000
1,3,55,72,2110000
1,3,83,52,2890000
1,2,40,72,920000
1,3,96,52,2200000
1,2.5,52,6,2500000
1,2.5,66,62,1700000
